"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"24446",2015-01-01,"55","48","40","38","31","26","76","58","39","30.17","30.13","30.08","10","10","10","20","9","23","0.00","0","","38<br />","San Francisco (CA)","Winter"
"24447",2015-01-02,"52","45","38","38","35","32","86","68","50","30.23","30.18","30.12","10","10","6","7","2","23","0.00","1","","162<br />","San Francisco (CA)","Winter"
"24448",2015-01-03,"54","46","38","45","39","35","92","76","59","30.32","30.26","30.19","10","9","7","7","2","15","0.00","1","","118<br />","San Francisco (CA)","Winter"
"24449",2015-01-04,"55","48","41","46","41","38","96","78","59","30.43","30.38","30.32","9","7","6","14","2","24","0.00","4","","147<br />","San Francisco (CA)","Winter"
"24450",2015-01-05,"59","51","43","48","43","38","100","77","53","30.39","30.32","30.23","10","9","7","7","2","10","0.00","3","","121<br />","San Francisco (CA)","Winter"
"24451",2015-01-06,"60","52","44","48","44","41","92","73","53","30.28","30.22","30.17","10","9","7","8","2","12","0.00","1","","104<br />","San Francisco (CA)","Winter"
"24452",2015-01-07,"60","53","45","53","47","42","93","75","57","30.23","30.15","30.08","10","9","6","7","2","10","0.00","1","","75<br />","San Francisco (CA)","Winter"
"24453",2015-01-08,"60","55","49","52","49","45","100","84","67","30.10","30.05","30.01","10","8","4","7","1","8","0.00","6","","54<br />","San Francisco (CA)","Winter"
"24454",2015-01-09,"63","57","51","55","52","49","100","86","72","30.03","30.00","29.96","10","8","6","13","4","16","0.00","6","","325<br />","San Francisco (CA)","Winter"
"24455",2015-01-10,"61","55","49","55","53","49","100","89","78","30.04","30.00","29.96","10","8","3","15","5","17","0.00","5","","308<br />","San Francisco (CA)","Winter"
"24456",2015-01-11,"56","52","47","53","50","47","100","93","86","30.18","30.09","30.02","10","8","0","20","4","28","0.00","5","Fog","192<br />","San Francisco (CA)","Winter"
"24457",2015-01-12,"62","55","47","55","51","48","100","89","78","30.28","30.22","30.19","10","7","0","18","4","22","0.00","4","Fog","297<br />","San Francisco (CA)","Winter"
"24458",2015-01-13,"64","55","46","51","47","42","100","74","48","30.22","30.17","30.12","10","8","0","8","1","9","0.00","1","Fog","10<br />","San Francisco (CA)","Winter"
"24459",2015-01-14,"58","51","43","53","47","41","93","82","71","30.29","30.22","30.16","10","8","5","9","2","9","0.00","3","","71<br />","San Francisco (CA)","Winter"
"24460",2015-01-15,"59","52","45","53","49","44","100","86","72","30.34","30.28","30.25","7","5","2","13","2","15","0.00","5","","117<br />","San Francisco (CA)","Winter"
"24461",2015-01-16,"58","53","48","55","52","48","100","90","80","30.30","30.26","30.22","8","5","4","9","3","10","0.00","6","","34<br />","San Francisco (CA)","Winter"
"24462",2015-01-17,"58","55","51","55","53","50","100","93","86","30.29","30.26","30.20","10","7","6","10","4","12","0.00","5","","84<br />","San Francisco (CA)","Winter"
"24463",2015-01-18,"61","57","53","59","55","53","100","95","90","30.33","30.28","30.25","10","5","0","10","3","12","0.00","7","Fog","350<br />","San Francisco (CA)","Winter"
"24464",2015-01-19,"60","56","52","56","54","51","100","86","72","30.30","30.25","30.17","10","7","0","15","4","20","0.00","6","Fog","359<br />","San Francisco (CA)","Winter"
"24465",2015-01-20,"61","55","49","52","50","46","100","86","72","30.17","30.12","30.06","10","7","0","10","4","","0.00","3","Fog","347<br />","San Francisco (CA)","Winter"
"24466",2015-01-21,"64","55","46","51","46","40","100","72","43","30.19","30.13","30.08","10","10","9","8","3","20","0.00","1","","128<br />","San Francisco (CA)","Winter"
"24467",2015-01-22,"57","52","47","51","47","45","93","80","67","30.35","30.28","30.19","10","9","7","18","4","21","0.00","2","","79<br />","San Francisco (CA)","Winter"
"24468",2015-01-23,"67","56","45","53","48","44","100","74","48","30.37","30.31","30.23","10","9","6","12","2","22","0.00","1","","174<br />","San Francisco (CA)","Winter"
"24469",2015-01-24,"64","57","49","54","49","41","89","66","43","30.24","30.17","30.10","10","10","9","12","3","13","0.00","0","","30<br />","San Francisco (CA)","Winter"
"24470",2015-01-25,"63","56","49","54","48","44","100","86","71","30.15","30.09","30.01","10","9","6","12","3","25","0.00","0","","55<br />","San Francisco (CA)","Winter"
"24471",2015-01-26,"64","56","48","54","48","43","100","76","52","30.05","30.01","29.96","10","10","9","13","3","14","0.00","5","","64<br />","San Francisco (CA)","Winter"
"24472",2015-01-27,"68","61","54","55","48","40","93","68","42","30.27","30.17","30.03","10","10","10","22","6","28","0.00","6","","167<br />","San Francisco (CA)","Winter"
"24473",2015-01-28,"64","57","49","55","52","48","100","84","67","30.27","30.21","30.17","10","10","7","15","4","17","0.00","2","","284<br />","San Francisco (CA)","Winter"
"24474",2015-01-29,"66","58","49","55","53","48","100","82","63","30.17","30.12","30.07","10","8","2","18","6","21","0.00","3","","273<br />","San Francisco (CA)","Winter"
"24475",2015-01-30,"64","57","50","55","52","48","100","86","72","30.06","29.99","29.91","10","9","2","20","6","24","0.00","2","","312<br />","San Francisco (CA)","Winter"
"24476",2015-01-31,"74","61","48","55","43","28","100","60","20","30.06","29.97","29.91","10","10","10","18","5","25","0.00","1","","290<br />","San Francisco (CA)","Winter"
"24477",2015-02-01,"64","55","46","54","50","42","100","80","60","30.17","30.13","30.06","10","10","10","14","4","16","0.00","4","","308<br />","San Francisco (CA)","Winter"
"24478",2015-02-02,"66","58","49","54","52","48","100","82","63","30.19","30.14","30.08","10","7","4","10","3","12","0.00","5","","340<br />","San Francisco (CA)","Winter"
"24479",2015-02-03,"65","59","52","57","54","50","100","86","72","30.13","30.09","30.04","10","9","7","9","2","25","0.00","5","","51<br />","San Francisco (CA)","Winter"
"24480",2015-02-04,"64","57","50","57","53","50","100","86","72","30.08","30.05","30.02","10","7","2","16","6","21","0.00","5","","211<br />","San Francisco (CA)","Winter"
"24481",2015-02-05,"64","59","53","54","51","47","93","75","56","30.05","29.97","29.89","10","10","10","25","8","32","0.00","7","","140<br />","San Francisco (CA)","Winter"
"24482",2015-02-06,"67","61","55","63","58","49","100","80","60","29.92","29.84","29.78","10","9","3","41","25","54","0.72","7","Rain","155<br />","San Francisco (CA)","Winter"
"24483",2015-02-07,"65","62","59","64","61","58","100","89","78","30.07","30.02","29.92","10","10","6","32","9","45","0.08","6","Rain","168<br />","San Francisco (CA)","Winter"
"24484",2015-02-08,"65","61","57","61","59","54","100","84","67","30.04","29.94","29.85","10","7","1","41","18","55","1.21","7","Rain","165<br />","San Francisco (CA)","Winter"
"24485",2015-02-09,"64","59","54","58","56","53","100","84","67","30.26","30.20","30.07","10","10","9","22","10","29","T","4","","251<br />","San Francisco (CA)","Winter"
"24486",2015-02-10,"64","56","48","53","50","47","100","80","60","30.23","30.16","30.10","10","10","9","16","5","23","0.00","3","","289<br />","San Francisco (CA)","Winter"
